Metric,Unit,Baseline,Counterfactual,Change_pct
Urban population,people,2997616.68176273,2747535.09152014,-8.34268076248934
Urbanization rate,fraction,0.499602780293788,0.457922515253356,-8.34268076248934
GDP,USD / year,264495589567.299,242003736253.011,-8.50367802014527
Wage bill,USD / year,224821251132.204,205703175815.06,-8.50367802014527
Average annual wage,USD / year / worker,75000,74868.2615373803,-0.17565128349295
Total urban area,km^2,1019.00730727765,706.858347057703,-30.6326517965681
Developable urban area,km^2,509.503653638825,353.429173528852,-30.6326517965681
Population density,people / km^2,5883.40566422643,7773.93406460218,32.1332321493817
CBD boundary,km,2.875,2.945,2.43478260869565
Urban fringe,km,18.01,15,-16.7129372570794
Commercial floor space,km^2 of floors,87.1817954201258,82.2626109588866,-5.64244454651787
Residential floor space,km^2 of floors,375.274285368208,332.491541407962,-11.4003931599709
Total floor space,km^2 of floors,462.456080788334,414.754152366848,-10.3149099780827
Average residential rent,USD / m^2 / year,240.054180446477,239.133042192717,-0.383720980008262
Average commercial rent,USD / m^2 / year,463.129442375247,449.351118352673,-2.97504817484915
Commuting disamenity index,index,1.2986341967769,1.28629077145022,-0.950492860677754
Commuting disamenity: income loss per resident,USD / year / resident,14214.5626067138,13800.4427972568,-2.91334894301623
Density amenity index,index,0.400727404918688,0.389134524345121,-2.892959261401
Height amenity index,index,1.0122009994917,1.01258639952092,0.0380754444432085
Urban utility,utility units,0.0371831227708767,0.0362247452699034,-2.57745296670985
Regional expected welfare,utility units,0.0414415249736096,0.0409266870482803,-1.24232379396537
Aggregate regional land rent,USD / year,71901749429.7673,70103101710.8698,-2.50153540513561
Residential floor space per resident,m^2 / resident,125.195348353224,120.894769297679,-3.43509492334441
Housing expenditure per resident,USD / year / resident,25500,25455.2089227093,-0.175651283492861
Height gap (relative to T),%,0,6.56168425932697,NaN
