Metric,Unit,Baseline,Counterfactual,Change_pct
Urban population,people,2998157.42610381,2411001.96676611,-19.583876891372
Urbanization rate,fraction,0.499692904350635,0.401833661127685,-19.583876891372
GDP,model units,4013325.77997958,3196082.00144517,-20.3632553980846
Wage bill,model units,3411326.91298264,2716669.70122839,-20.3632553980846
Wage,model units / worker,1.13780780264623,1.12678037541059,-0.969181896097782
Total urban area,km^2,2567.90045009172,1256.63706143592,-51.0636379462828
Developable urban area,km^2,1283.95022504586,628.318530717959,-51.0636379462828
Population density,people / km^2,2335.10409330449,3837.22880815108,64.3279551928187
CBD boundary,km,6.27,6.52,3.98724082934609
Urban fringe,km,28.59,20,-30.0454704442113
Commercial floor space,km^2 of floors,759.331469760906,634.592317351156,-16.4274967359152
Residential floor space,km^2 of floors,2863.68680260365,1997.18538842746,-30.2582465857779
Total floor space,km^2 of floors,3623.01827236456,2631.77770577862,-27.3595243542343
Average residential rent,model units / m^2,0.000444937863939308,0.000482083725255762,8.34855028690507
Average commercial rent,model units / m^2,0.000811494470933263,0.000771967331334857,-4.87090682860074
Commuting disamenity index,index,1.2598391181429,1.21817440772454,-3.30714531866388
Commuting disamenity: income loss per resident,model units / resident,0.212398339477692,0.183528658695273,-13.5922346913878
Commuting disamenity: share of wage,% of wage,18.6673301926487,16.2878820664938,-12.7465904422258
Density amenity index,index,0.441703218348384,0.419183505872186,-5.09838089031892
Height amenity index,index,1.02961600768476,1.03423958380439,0.449058297960159
Urban utility,utility units,0.104586916898563,0.0983024904686776,-6.00880742663139
Regional expected welfare,utility units,0.116561462639678,0.113352808280883,-2.75275746042541
Aggregate regional land rent,model units,1268853.43344804,1225871.85001226,-3.38743485281693
Residential floor space per resident,m^2 / resident,955.70796075314,827.437439678596,-13.4215185330738
Housing expenditure per resident,model units / resident,0.386854652899717,0.383105327639601,-0.969181896097793
Height gap (relative to T),%,0,7.94731176663561,NaN
